timestamp,source_ip,destination_ip,source_port,destination_port,protocol,packet_count,byte_count,duration,failed_connections,connection_rate,authentication_failures,service,status,label,attack_type,event_id
2026-08-03 23:17:26+00:00,10.0.17.15,32.47.173.100,35915,443,TCP,77,56236,1.6384597135557344,0,1.6416906592251344,0,https,SUCCESS,normal,none,evt_000000
2026-08-01 08:38:25+00:00,10.0.1.170,117.85.125.142,31235,443,TCP,164,21119,0.439226395950145,0,1.0099973213013058,0,https,SUCCESS,normal,none,evt_000001
2026-08-01 05:09:31+00:00,10.0.9.228,10.0.16.29,27266,443,TCP,167,30254,3.2484564525519453,0,3.4328201672899405,0,https,SUCCESS,normal,none,evt_000002
2026-08-01 22:06:20+00:00,10.0.2.25,160.212.94.142,37649,443,TCP,56,51699,0.08579839334326737,0,2.4880740203290808,0,https,SUCCESS,normal,none,evt_000003
2026-08-01 06:58:34+00:00,10.0.13.182,10.0.5.53,16056,22,TCP,55,34431,1.6935463282570937,0,2.9180080413785445,0,ssh,SUCCESS,normal,none,evt_000004
2026-08-03 12:34:23+00:00,10.0.9.53,10.0.5.78,10412,80,TCP,84,47948,1.3383773715905307,0,4.319816943800763,0,http,SUCCESS,normal,none,evt_000005
2026-08-01 10:27:07+00:00,10.0.18.202,34.51.48.157,17913,53,UDP,167,54448,3.6981129838309883,0,4.998791703328863,0,dns,SUCCESS,normal,none,evt_000006
2026-08-03 02:29:51+00:00,10.0.15.4,10.0.9.146,34338,443,TCP,69,49605,2.430610562901558,0,3.186177753871717,0,https,SUCCESS,normal,none,evt_000007
2026-08-03 15:33:57+00:00,10.0.5.162,112.95.163.213,26741,443,TCP,127,59120,2.26056586687651,0,2.748028539305912,0,https,SUCCESS,normal,none,evt_000008
2026-08-01 01:27:16+00:00,10.0.15.213,45.3.192.33,4393,3389,TCP,188,43453,1.1983719276267026,0,2.613234379160927,0,rdp,SUCCESS,normal,none,evt_000009
2026-08-02 04:10:39+00:00,10.0.7.11,10.0.1.71,32071,53,UDP,119,28974,2.090664502782888,0,3.2361533321132825,0,dns,FAILED,normal,none,evt_000010
2026-08-01 09:58:12+00:00,10.0.16.240,32.111.126.54,56168,443,TCP,139,61596,1.6659073412107515,0,3.7102936202953503,0,https,SUCCESS,normal,none,evt_000011
2026-08-03 14:56:55+00:00,10.0.15.243,70.9.186.246,27087,21,TCP,130,56366,1.769249308825649,0,2.6754163312732033,0,ftp,SUCCESS,normal,none,evt_000012
2026-08-03 17:29:02+00:00,10.0.0.212,10.0.0.243,3089,443,TCP,106,17216,4.005725243147697,0,0.23198382074084867,0,https,SUCCESS,normal,none,evt_000013
2026-08-02 11:10:56+00:00,10.0.6.29,10.0.10.199,12501,80,TCP,158,44514,0.6737840108471039,0,2.5894165311215436,0,http,SUCCESS,normal,none,evt_000014
2026-08-02 15:12:07+00:00,10.0.0.179,197.92.113.45,61402,443,TCP,147,30678,1.7336164489223713,0,3.122311064847189,0,https,SUCCESS,normal,none,evt_000015
2026-08-01 19:53:50+00:00,10.0.8.87,79.46.185.241,55507,25,TCP,80,12205,0.2841845916926782,0,2.1057630350142453,0,smtp,FAILED,normal,none,evt_000016
2026-08-02 08:25:59+00:00,10.0.11.215,10.0.1.3,14718,53,UDP,107,50480,1.3354393910331865,0,4.838134668721263,0,dns,FAILED,normal,none,evt_000017
2026-08-02 15:34:31+00:00,10.0.12.51,47.16.193.117,52194,443,TCP,113,25250,10.82820902428048,0,4.362995818620155,0,https,SUCCESS,normal,none,evt_000018
2026-08-02 04:07:18+00:00,10.0.15.193,10.0.7.254,55124,80,TCP,149,44692,3.4927588515276424,0,2.836231545745976,0,http,FAILED,normal,none,evt_000019
2026-08-03 17:12:11+00:00,10.0.4.68,200.5.69.13,31644,443,TCP,206,50089,0.25745984566387353,0,2.5748770007097233,0,https,SUCCESS,normal,none,evt_000020
2026-08-01 00:03:19+00:00,107.37.111.60,10.0.10.58,51591,22,TCP,5,1076,0.5103688819532662,1,18.973682437272455,12,ssh,FAILED,anomaly,brute_force,evt_000021
2026-08-02 01:00:45+00:00,10.0.11.71,10.0.1.19,61395,5432,TCP,73,28768,0.39835045350100123,0,3.6439017568282384,0,sql,SUCCESS,normal,none,evt_000022
